남서울대 | 충남 | 가 | 시각정보디자인학과
남서울대 | 충남 | 가 | 국제유통학과
남서울대 | 충남 | 가 | 영상예술디자인학과
남서울대 | 충남 | 가 | 유리세라믹디자인학과
남서울대 | 충남 | 나 | 스포츠비즈니스학과
남서울대 | 충남 | 나 | 스포츠건강관리학과
남서울대 | 충남 | 나 | 경영학과
남서울대 | 충남 | 나 | 광고홍보학과
남서울대 | 충남 | 나 | 호텔경영학과
남서울대 | 충남 | 나 | 세무학과
남서울대 | 충남 | 나 | 글로벌무역학과
남서울대 | 충남 | 나 | 부동산학과
남서울대 | 충남 | 나 | 관광경영학과
남서울대 | 충남 | 나 | 유통마케팅학과
남서울대 | 충남 | 나 | 아동복지학과
남서울대 | 충남 | 나 | 사회복지학과
남서울대 | 충남 | 나 | 노인복지학과
남서울대 | 충남 | 나 | 보건행정학과
남서울대 | 충남 | 나 | 치위생학과
남서울대 | 충남 | 나 | 물리치료학과
남서울대 | 충남 | 나 | 간호학과
남서울대 | 충남 | 나 | 임상병리학과
남서울대 | 충남 | 나 | 응급구조학과
남서울대 | 충남 | 나 | 뷰티보건학과
남서울대 | 충남 | 나 | 글로벌지역문화학과(영미문화)
남서울대 | 충남 | 나 | 글로벌지역문화학과(일본지역)
남서울대 | 충남 | 나 | 글로벌지역문화학과(중국지역)
남서울대 | 충남 | 나 | 보건행정학과
남서울대 | 충남 | 나 | 영어과
남서울대 | 충남 | 나 | 일어일문학과
남서울대 | 충남 | 나 | 중국학과
남서울대 | 충남 | 다 | 컴퓨터소프트웨어학과
남서울대 | 충남 | 다 | 전자공학과
남서울대 | 충남 | 다 | 지능정보통신공학과
남서울대 | 충남 | 다 | 멀티미디어학과
남서울대 | 충남 | 다 | 빅데이터경영공학과
남서울대 | 충남 | 다 | 건축공학과(4년제)
남서울대 | 충남 | 다 | 건축학과(5년제)
남서울대 | 충남 | 다 | 드론공간정보공학과
남서울대 | 충남 | 다 | 실용음악학과
남서울대 | 충남 | 다 | 정보통신공학과
남서울대 | 충남 | 다 | 산업경영공학과
남서울대 | 충남 | 다 | 공간정보공학과
남서울대 | 충남 | 다 | 가상증강현실융합학과
